sample	lat	lon	Year_stored		
ITA_NAP_CH_007	-30.5016	151.6662	2004		
ITA_NAP_CH_008	-30.5016	151.6662	2004		
ITA_NAP_CH_009	-30.5016	151.6662	2004		
ITA_NAP_CH_010	-30.5016	151.6662	2004		
FRA_ORB_OA_001	45.6836	2.8415	2008		
FRA_ORB_OA_002	45.6836	2.8415	2008		
FRA_ORB_OA_003	45.6836	2.8415	2008		
FRA_ORB_OA_004	45.6836	2.8415	2008		
FRA_POU_CH_001	46.3237	-0.4648	1998		
FRA_POU_CH_002	46.3237	-0.4648	1998		
FRA_POU_CH_003	46.3237	-0.4648	1998		
FRA_POU_CH_004	46.3237	-0.4648	1998		
FRA_SER_CH_001	46.3237	-0.4648	1999		
FRA_SER_CH_002	46.3237	-0.4648	1999		
FRA_SER_CH_003	46.3237	-0.4648	1999		
FRA_SER_CH_004	46.3237	-0.4648	1999		
FRG_AVE_OA_001	16.2650	-61.551	2005		
FRG_AVE_OA_002	16.2650	-61.551	2005		
FRG_AVE_OA_003	16.2650	-61.551	2005		
FRG_AVE_OA_004	16.2650	-61.551	2005		
FRG_CES_OA_001	16.2650	-61.551	2005		
FRG_CES_OA_002	16.2650	-61.551	2005		
FRG_CES_OA_003	16.2650	-61.551	2005		
FRG_CES_OA_004	16.2650	-61.551	2005		
FRG_DAV_OA_001	16.2650	-61.551	2005		
FRG_DAV_OA_002	16.2650	-61.551	2005		
FRG_DAV_OA_003	16.2650	-61.551	2005		
FRG_DAV_OA_004	16.2650	-61.551	2005		
FRG_DEJ_OA_001	16.2650	-61.551	2005		
FRG_DEJ_OA_002	16.2650	-61.551	2005		
FRG_DEJ_OA_003	16.2650	-61.551	2005		
FRG_DEJ_OA_004	16.2650	-61.551	2005		
FRG_MEY_OA_001	16.2650	-61.551	2005		
FRG_MEY_OA_002	16.2650	-61.551	2005		
FRG_MEY_OA_003	16.2650	-61.551	2005		
FRG_ROB_OA_001	16.2650	-61.551	2005		
FRG_ROB_OA_002	16.2650	-61.551	2005		
FRG_ROB_OA_003	16.2650	-61.551	2005		
FRG_ROB_OA_004	16.2650	-61.551	2005		
IND_IND_CH_001	-0.7893	113.9213	1996		
IND_IND_CH_002	-0.7893	113.9213	1996		
IND_IND_CH_003	-0.7893	113.9213	1996		
IND_IND_CH_004	-0.7893	113.9213	1996		
IND_IND_CH_005	-0.7893	113.9213	1996		
IND_IND_CH_006	-0.7893	113.9213	1996		
IND_IND_CH_007	-0.7893	113.9213	1996		
MOR_MAR_OA_001	31.7917	-7.0926	2000		
MOR_MAR_OA_0010	31.7917	-7.0926	2000		
MOR_MAR_OA_0011	31.7917	-7.0926	2000		
MOR_MAR_OA_0012	31.7917	-7.0926	2000		
MOR_MAR_OA_0013	31.7917	-7.0926	2000		
MOR_MAR_OA_0014	31.7917	-7.0926	2000		
MOR_MAR_OA_0015	31.7917	-7.0926	2000		
MOR_MAR_OA_002	31.7917	-7.0926	2000		
MOR_MAR_OA_003	31.7917	-7.0926	2000		
MOR_MAR_OA_005	31.7917	-7.0926	2000		
MOR_MAR_OA_006	31.7917	-7.0926	2000		
MOR_MAR_OA_008	31.7917	-7.0926	2000		
MOR_MAR_OA_009	31.7917	-7.0926	2000		
NAM_NAM_CH_001	-22.9576	18.4904	1998		
NAM_NAM_CH_0010	-22.9576	18.4904	1998		
NAM_NAM_CH_0011	-22.9576	18.4904	1998		
NAM_NAM_CH_0012	-22.9576	18.4904	1998		
NAM_NAM_CH_0013	-22.9576	18.4904	1998		
NAM_NAM_CH_0014	-22.9576	18.4904	1998		
NAM_NAM_CH_0015	-22.9576	18.4904	1998		
NAM_NAM_CH_008	-22.9576	18.4904	1998		
NAM_NAM_CH_009	-22.9576	18.4904	1998		
NAM_NAM_CH_010	-22.9576	18.4904	1998		
NAM_NAM_CH_011	-22.9576	18.4904	1998		
NAM_NAM_CH_012	-22.9576	18.4904	1998		
NAM_NAM_CH_013	-22.9576	18.4904	1998		
NAM_NAM_CH_014	-22.9576	18.4904	1998		
NAM_NAM_CH_015	-22.9576	18.4904	1998		
POR_ACO_CH_001	37.7412	-25.6756	1999		
POR_ACO_CH_002	37.7412	-25.6756	1999		
POR_ACO_CH_003	37.7412	-25.6756	1999		
