lat	lon	sample	Year_stored	reg	iso	iso2	geo	mcov	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	ivm
-25.3299	31.0163	STA_WHR_OA_011	2001	STA	STA.3	WHR	Sub.Tropical.Africa	3.57	189	124	59	2918	277	67	210	221	148	221	148	949	168	13	73	468	42	468	42	1
-25.3299	31.0163	STA_WHR_OA_012	2001	STA	STA.3	WHR	Sub.Tropical.Africa	3.93	189	124	59	2918	277	67	210	221	148	221	148	949	168	13	73	468	42	468	42	1
-25.3299	31.0163	STA_WHR_OA_013	2001	STA	STA.3	WHR	Sub.Tropical.Africa	3.59	189	124	59	2918	277	67	210	221	148	221	148	949	168	13	73	468	42	468	42	1
-25.3299	31.0163	STA_WHR_OA_014	2001	STA	STA.3	WHR	Sub.Tropical.Africa	1.89	189	124	59	2918	277	67	210	221	148	221	148	949	168	13	73	468	42	468	42	1
-25.6409	28.1708	STA_OND_OA_001	2001	STA	STA.2	OND	Sub.Tropical.Africa	0.46	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
-25.6409	28.1708	STA_OND_OA_0010	2001	STA	STA.2	OND	Sub.Tropical.Africa	0.81	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
-25.6409	28.1708	STA_OND_OA_0011	2001	STA	STA.2	OND	Sub.Tropical.Africa	1.54	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
-25.6409	28.1708	STA_OND_OA_0012	2001	STA	STA.2	OND	Sub.Tropical.Africa	1.66	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
-25.6409	28.1708	STA_OND_OA_0013	2001	STA	STA.2	OND	Sub.Tropical.Africa	1.88	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
-25.6409	28.1708	STA_OND_OA_0014	2001	STA	STA.2	OND	Sub.Tropical.Africa	1.38	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
-25.6409	28.1708	STA_OND_OA_0015	2001	STA	STA.2	OND	Sub.Tropical.Africa	2.72	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
-25.6409	28.1708	STA_OND_OA_008	2001	STA	STA.2	OND	Sub.Tropical.Africa	1.21	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
-25.6409	28.1708	STA_OND_OA_010	2001	STA	STA.2	OND	Sub.Tropical.Africa	1.96	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
-25.6409	28.1708	STA_OND_OA_011	2001	STA	STA.2	OND	Sub.Tropical.Africa	1.36	179	159	57	4300	292	14	278	220	117	224	117	695	124	6	77	356	20	333	20	0
