FRA_HER_OA_004	1266544	90.16	117	95	69	97.5
FRA_HOC_CH_001	136928	9.75	14	10	7	18.7
FRA_HOC_CH_002	2738437	194.95	227	220	206	98.0
FRA_HOC_CH_003	2013958	143.37	171	156	133	98.5
FRA_HOC_CH_004	1984900	141.30	171	158	136	97.1
FRA_HUM_CH_001	2302347	163.90	204	173	140	98.8
FRA_HUM_CH_002	2384437	169.75	200	191	172	97.3
FRA_HUM_CH_003	1763954	125.58	147	136	122	99.3
FRA_HUM_CH_004	2539523	180.79	211	201	188	97.2
FRA_INB_OA_001	1698223	120.90	148	133	111	97.3
FRA_INB_OA_002	14993907	1067.41	500	500	500	98.9
FRA_INB_OA_003	934697	66.54	86	72	51	95.8
FRA_INB_OA_004	294573	20.97	29	22	16	76.7
FRA_LAR_OA_001	332279	23.65	30	25	20	88.0
FRA_LAR_OA_002	212267	15.11	20	17	13	58.4
FRA_LAR_OA_003	1201208	85.51	107	94	77	96.3
FRA_LAR_OA_004	1013565	72.16	93	77	60	96.9
FRA_LAT_OA_000	80249	5.71	9	7	5	0.7
FRA_LAT_OA_001	290764	20.70	28	23	17	78.2
FRA_LAT_OA_002	409746	29.17	38	31	23	87.2
FRA_LAT_OA_003	66195	4.71	8	5	3	0.2
ITA_NAP_CH_0010	2852309	203.05	233	226	211	99.2
ITA_NAP_CH_001	1945300	138.49	187	157	101	94.9
ITA_NAP_CH_003	6793223	483.61	500	500	320	96.0
ITA_NAP_CH_004	44380863	3159.45	500	500	500	96.5
ITA_NAP_CH_005	1973177	140.47	189	156	101	94.9
ITA_NAP_CH_006	21235219	1511.73	500	500	500	96.4
ITA_NAP_CH_007	1946496	138.57	190	156	91	94.6
ITA_NAP_CH_008	1887138	134.34	186	152	87	94.6
ITA_NAP_CH_009	2027349	144.33	191	161	113	94.4
ITA_NAP_CH_010	1630505	116.07	154	134	88	94.1
FRA_ORB_OA_001	6893280	490.73	500	500	333	97.9
FRA_ORB_OA_002	2745381	195.44	228	219	201	97.8
FRA_ORB_OA_003	2651145	188.73	223	212	178	98.6
FRA_ORB_OA_004	2424444	172.60	211	196	155	97.6
FRA_POU_CH_001	2616076	186.24	218	209	189	97.8
FRA_POU_CH_002	24862860	1769.98	500	500	500	99.4
FRA_POU_CH_003	1992708	141.86	167	157	141	97.7
FRA_POU_CH_004	2653859	188.93	220	210	188	98.5
FRA_SER_CH_001	2742065	195.21	228	219	198	98.7
FRA_SER_CH_002	842772	60.00	75	66	54	94.8
FRA_SER_CH_003	1851885	131.83	158	144	123	97.4
FRA_SER_CH_004	1566555	111.52	137	121	96	97.7
FRG_AVE_OA_001	2719230	193.58	222	216	199	98.5
FRG_AVE_OA_002	2022273	143.96	187	167	113	94.9
FRG_AVE_OA_003	2726312	194.09	227	220	203	97.9
FRG_AVE_OA_004	2676389	190.53	221	214	197	97.8
FRG_CES_OA_001	2372575	168.90	198	187	172	97.9
FRG_CES_OA_002	1042373	74.21	98	81	57	92.8
FRG_CES_OA_003	1254529	89.31	118	103	69	93.0
FRG_CES_OA_004	662667	47.17	64	50	34	89.3
FRG_DAV_OA_001	2016773	143.57	176	160	130	96.8
FRG_DAV_OA_002	525394	37.40	49	39	30	91.8
FRG_DAV_OA_003	2552545	181.71	211	202	187	97.5
FRG_DAV_OA_004	9197424	654.76	500	500	496	99.1
FRG_DEJ_OA_001	18674488	1329.43	500	500	500	96.4
FRG_DEJ_OA_002	77878962	5544.17	500	500	500	98.5
FRG_DEJ_OA_003	82425763	5867.86	500	500	500	98.7
FRG_DEJ_OA_004	2552809	181.73	212	204	185	97.6
FRG_MEY_OA_001	1759336	125.25	153	136	110	97.8
FRG_MEY_OA_002	1517505	108.03	134	117	92	96.8
FRG_MEY_OA_003	5856722	416.94	500	434	291	98.7
FRG_ROB_OA_001	1616672	115.09	150	131	89	95.5
FRG_ROB_OA_002	2669932	190.07	223	215	196	97.4
FRG_ROB_OA_003	2260793	160.94	190	181	158	97.4
FRG_ROB_OA_004	2526651	179.87	211	201	177	97.9
IND_IND_CH_001	239066	17.02	24	19	13	65.8
IND_IND_CH_002	9048134	644.13	500	500	443	97.5
IND_IND_CH_003	436916	31.10	43	34	23	83.1
IND_IND_CH_004	691637	49.24	69	52	36	90.3
IND_IND_CH_005	2972200	211.59	282	229	148	96.5
IND_IND_CH_006	1133843	80.72	110	90	59	92.9
IND_IND_CH_007	1549797	110.33	151	126	72	94.1
MOR_MAR_OA_0010	2648868	188.57	221	213	194	97.8
MOR_MAR_OA_0011	1999170	142.32	168	155	134	97.8
MOR_MAR_OA_0012	2635029	187.59	221	212	191	97.6
MOR_MAR_OA_0013	2739717	195.04	226	219	200	97.7
MOR_MAR_OA_0014	32406601	2307.01	500	500	500	99.6
