MAFbin MEAN_FST COMP
0.4 0.0527723043947797 AUS.2.FRA.1
0.5 0.0661061057369861 AUS.2.FRA.1
0.1 0.0255782732231384 AUS.2.FRA.2
0.2 0.025903136358808 AUS.2.FRA.2
0.3 0.0377694746885746 AUS.2.FRA.2
0.4 0.0569584790287682 AUS.2.FRA.2
0.5 0.0957047665286369 AUS.2.FRA.2
0.1 0.00360978110423969 AUS.2.FRA.3
0.2 0.0115866774157179 AUS.2.FRA.3
0.3 0.0521522064815725 AUS.2.FRA.3
0.4 0.0898713053570732 AUS.2.FRA.3
0.5 0.159630925515528 AUS.2.FRA.3
0.1 0.00834017466939798 AUS.2.FRG
0.2 0.0257425536730839 AUS.2.FRG
0.3 0.0621928610958805 AUS.2.FRG
0.4 0.0967010514761858 AUS.2.FRG
0.5 0.128649877468302 AUS.2.FRG
0.1 0.0396654309720917 AUS.2.IND
0.2 0.0587792873693684 AUS.2.IND
0.3 0.0873971341758125 AUS.2.IND
0.4 0.100789055498114 AUS.2.IND
0.5 0.143059059311228 AUS.2.IND
0.1 0.0377229869279037 AUS.2.MOR
0.2 0.0655364414420695 AUS.2.MOR
0.3 0.105646969014553 AUS.2.MOR
0.4 0.119489052104096 AUS.2.MOR
0.5 0.183798907276412 AUS.2.MOR
0.1 0.0137107169883464 AUS.2.NAM
0.2 0.0657160299287245 AUS.2.NAM
0.3 0.151285984520553 AUS.2.NAM
0.4 0.214945945694511 AUS.2.NAM
0.5 0.329634791286586 AUS.2.NAM
0.1 0.05042383113673 AUS.2.STA.1
0.2 0.0964482307836117 AUS.2.STA.1
0.3 0.16554859802179 AUS.2.STA.1
0.4 0.191403546888966 AUS.2.STA.1
0.5 0.240544284145166 AUS.2.STA.1
0.1 0.04817693359403 AUS.2.STA.2
0.2 0.0770932104133024 AUS.2.STA.2
0.3 0.135662965947994 AUS.2.STA.2
0.4 0.164016829879064 AUS.2.STA.2
0.5 0.198173332505978 AUS.2.STA.2
0.1 0.0225117856670027 AUS.2.STA.3
0.2 0.0510972262632264 AUS.2.STA.3
0.3 0.1057745566717 AUS.2.STA.3
0.4 0.140361559820714 AUS.2.STA.3
0.5 0.200923643095219 AUS.2.STA.3
0.1 0.0769310982669977 AUS.2.STO
0.2 0.146639375301729 AUS.2.STO
0.3 0.216763409252743 AUS.2.STO
0.4 0.245957359107335 AUS.2.STO
0.5 0.341070572670786 AUS.2.STO
0.1 0.0657799184953259 AUS.2.ZAI
0.2 0.122993196741498 AUS.2.ZAI
0.3 0.19913072076681 AUS.2.ZAI
0.4 0.220078658254616 AUS.2.ZAI
0.5 0.309856101783056 AUS.2.ZAI
0.1 0.0115629580186916 BEN.ACO
0.2 0.00261150148241206 BEN.ACO
0.4 0.274600385280464 BEN.ACO
0.1 0.0349475105555556 BEN.CAP
0.2 0 BEN.CAP
0.4 0.619924 BEN.CAP
0.1 0.0025252598003153 BEN.FRA.1
0.2 0.00905143474303405 BEN.FRA.1
0.3 0.0224331821192053 BEN.FRA.1
0.4 0.100249726016949 BEN.FRA.1
0.5 0.12021727963964 BEN.FRA.1
0.1 0.0090469191583045 BEN.FRA.2
0.2 0.0876820368578554 BEN.FRA.2
0.3 0.0963584222222222 BEN.FRA.2
0.4 0.15829211047619 BEN.FRA.2
0.5 0.0805156333333333 BEN.FRA.2
0.1 0.0383025533333333 BEN.FRA.3
0.2 0.0001149325 BEN.FRA.3
0.4 0.1949686 BEN.FRA.3
0.1 0.000213557521124215 BEN.FRG
0.2 0.00557093640468954 BEN.FRG
0.3 0.0409455809045226 BEN.FRG
0.4 0.0755264518181818 BEN.FRG
0.5 0.0667662649827586 BEN.FRG
0.1 0.000819377111947319 BEN.IND
0.2 0.0241581996312785 BEN.IND
0.3 0.0278048908256881 BEN.IND
0.4 0.098394417133758 BEN.IND
0.5 0.21957615625 BEN.IND
0.1 0.00139158138009918 BEN.MOR
0.2 0.0241089802135524 BEN.MOR
0.3 0.0661982339449541 BEN.MOR
0.4 0.0709461497368421 BEN.MOR
0.5 0.0820880361111111 BEN.MOR
0.1 0.00038097596029368 BEN.NAM
0.2 0.000739352772713461 BEN.NAM
0.3 0.0176023252727273 BEN.NAM
0.4 0.0751750096721311 BEN.NAM
0.5 0.132938110344828 BEN.NAM
0.1 0.0280165725045659 BEN.STA.2
0.2 0.206100722309543 BEN.STA.2
0.3 0.145561708333333 BEN.STA.2
0.4 0.13451516 BEN.STA.2
0.5 0.168084366666667 BEN.STA.2
0.1 0.00049519302819633 BEN.STO
0.2 0.00892257620029895 BEN.STO
0.3 0.00687820991869919 BEN.STO
0.4 0.055688638963964 BEN.STO
0.5 0.074310241025641 BEN.STO
0.1 0.012184987670419 BEN.ZAI
0.2 0.0590100410996678 BEN.ZAI
0.3 0.172361170967742 BEN.ZAI
0.4 0.0837826396629213 BEN.ZAI
0.5 0.143810648571429 BEN.ZAI
0.1 0.035790270549661 CAP.ACO
0.2 0.0066597959221957 CAP.ACO
0.3 0.0644430665700483 CAP.ACO
0.4 0.156131671419698 CAP.ACO
0.5 0.346685289043062 CAP.ACO
0.1 0.000712471980463272 CAP.FRA.1
0.2 0.00128575326787365 CAP.FRA.1
0.3 0.0057668997370502 CAP.FRA.1
0.4 0.0233499386148455 CAP.FRA.1
0.5 0.0488431644612754 CAP.FRA.1
0.1 0.0063961550714478 CAP.FRA.2
0.2 0.0110411479901856 CAP.FRA.2
0.3 0.0157897846601942 CAP.FRA.2
0.4 0.0289579873539916 CAP.FRA.2
0.5 0.0474327039325843 CAP.FRA.2
0.1 0.0415261451578947 CAP.FRA.3
0.2 0.0610632649 CAP.FRA.3
0.4 0.151721642469136 CAP.FRA.3
0.5 0.182271 CAP.FRA.3
0.1 0.000423079721214778 CAP.FRG
0.2 0.00156205913778443 CAP.FRG
0.3 0.0121661096845807 CAP.FRG
0.4 0.0267274822874362 CAP.FRG
0.5 0.072377720109451 CAP.FRG
0.1 0.00226024839127535 CAP.IND
0.2 0.00210434981236122 CAP.IND
0.3 0.0192606186434155 CAP.IND
0.4 0.0749535937362789 CAP.IND
